new entry "Target_Sanctuary"
type "SpellData"
data "SpellType" "Target"
data "Level" "1"
data "SpellSchool" "Abjuration"
data "SpellProperties" "AI_IGNORE:ApplyStatus(SANCTUARY,100,10);AI_ONLY:ApplyStatus(AI_HELPER_BUFF,100,10)"
data "TargetRadius" "18"
data "TargetConditions" "Character() and not HasStatus('SANCTUARY')"
data "Icon" "Spell_Abjuration_Sanctuary"
data "DisplayName" "ha9054462g6623g9257g7e99gb4277e6d5c03;1"
data "Description" "hdb2f9084g5d3eg5811gbbcdgc8e26d57b82e;2"
data "ExtraDescription" "h981124ffgbdaagac1dg20b6g04436ce12324;2"
data "TooltipStatusApply" "ApplyStatus(SANCTUARY,100,10)"
data "PrepareSound" "Spell_Prepare_ClericGen_L1to3_01"
data "PrepareLoopSound" "Spell_Loop_ClericGen_L1to3"
data "CastSound" "Spell_Cast_Buff_Sanctuary_L1To3"
data "TargetSound" "Spell_Impact_Buff_Sanctuary_L1To3"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1;SpellSlotsGroup:1:1:1"
data "SpellAnimation" "03496c4a-49e0-4132-b585-3e5ecd1ad8e5,,;,,;8252328a-66dd-4dc0-bbe0-00eea3204922,,;982d842b-5d44-4ef6-ab33-14d5ae514a50,,;a9682ef9-5d9e-4ac0-8144-2c7fe6eb868c,,;,,;32fb4d91-7fde-4b05-9144-ea87b9a4284a,,;499b7945-9eff-40a2-9911-73b8963108e4,,;1d3a29f0-9409-462e-81cd-3f24944f63ca,,"
data "VerbalIntent" "Buff"
data "SpellStyleGroup" "Class"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell"
data "RechargeValues" "4-6"
data "HitAnimationType" "MagicalNonDamage"
data "MemoryCost" "1"
data "PrepareEffect" "60ec0a2d-1b72-4fb2-9eaf-571638aca25d"
data "CastEffect" "6d072523-11f5-4b1b-a2d8-24ade34a315d"
data "TargetEffect" "909a9fca-b6d7-4605-9627-2107346425a4"

